year,1,2,3,4,5
1983,4270.79,14177.05,1632.85,977.12,376.71
1984,12958.2,5446.28,2290.84,461.97,437.13
1985,617.51,14498.27,1964.46,794.76,234.96
1986,12785.2,2216.68,3303.59,945.84,436.59
1987,5266.88,14195.25,667.18,797.59,225.02
1988,2876.33,3414.7,3352.99,198.29,362.83
1989,9900.2,3347.84,2530.74,1187.15,172.37
1990,2077,7137.48,1112,433.05,490.43
1991,1743.49,2242.41,1902.23,512.69,274.26
1992,9554.83,3167.56,725.55,513.67,161.64
1993,3321.58,7794.98,942.67,349.37,255.43
1994,7254.4,2107.48,1546.9,487.9,230.52
1995,7072.81,9235.94,1801.62,525.57,194.35
1996,1857.58,4057.64,2403.72,421.56,263.72
1997,16261.07,3021.4,1194.67,551.4,163.69
1998,649.55,9722.9,1177.3,492.5,299.86
1999,1419.12,474.17,4142.96,618.08,294.8
2000,3592.07,2079.43,505,962.79,174.36
2001,877.05,3720.28,861.7,160.7,151.28
2002,2950.59,1505.09,1571.35,249.21,57.39
2003,359.99,1916.81,706.06,479.5,159.15
2004,2747.85,1213.47,1134.11,190.72,187.71
2005,1099.83,1445.68,484.03,403.79,69.84
2006,3868.14,845.99,757.75,157.15,87.17
2007,1448.49,2550.87,693.84,231.92,88.32
2008,2305.78,1043.63,1163.35,294.29,201.02
2009,1064.81,1707.84,814.68,393.71,127.3
2010,2842.22,1591.55,1147.24,328.62,207.42
2011,768.23,2818.41,591.99,336.14,212.66
2012,1585.27,1507.4,1848.97,412.23,226.58
2013,1631.5,1431.03,764.53,558.1,372.8
2014,2713.58,1692.78,740.84,288.65,348.85
2015,1688.14,3530.23,1213.69,451.92,198.99
2016,956.06,1072.38,1889.81,623.55,361.07
2017,8238.45,889.46,1202.85,1054.48,571.87
2018,473.31,2568.35,512.33,303.69,262.06
2019,1314.17,503.71,908.28,96.33,91.71
